"train/global_step","ethereal-sweep-12 - eval/loss","ethereal-sweep-12 - eval/loss__MIN","ethereal-sweep-12 - eval/loss__MAX","ethereal-sweep-12 - _step","ethereal-sweep-12 - _step__MIN","ethereal-sweep-12 - _step__MAX","stellar-sweep-11 - eval/loss","stellar-sweep-11 - eval/loss__MIN","stellar-sweep-11 - eval/loss__MAX","stellar-sweep-11 - _step","stellar-sweep-11 - _step__MIN","stellar-sweep-11 - _step__MAX","radiant-sweep-10 - eval/loss","radiant-sweep-10 - eval/loss__MIN","radiant-sweep-10 - eval/loss__MAX","radiant-sweep-10 - _step","radiant-sweep-10 - _step__MIN","radiant-sweep-10 - _step__MAX","revived-sweep-9 - eval/loss","revived-sweep-9 - eval/loss__MIN","revived-sweep-9 - eval/loss__MAX","revived-sweep-9 - _step","revived-sweep-9 - _step__MIN","revived-sweep-9 - _step__MAX","fine-sweep-8 - eval/loss","fine-sweep-8 - eval/loss__MIN","fine-sweep-8 - eval/loss__MAX","fine-sweep-8 - _step","fine-sweep-8 - _step__MIN","fine-sweep-8 - _step__MAX","fiery-sweep-7 - eval/loss","fiery-sweep-7 - eval/loss__MIN","fiery-sweep-7 - eval/loss__MAX","fiery-sweep-7 - _step","fiery-sweep-7 - _step__MIN","fiery-sweep-7 - _step__MAX","helpful-sweep-6 - eval/loss","helpful-sweep-6 - eval/loss__MIN","helpful-sweep-6 - eval/loss__MAX","helpful-sweep-6 - _step","helpful-sweep-6 - _step__MIN","helpful-sweep-6 - _step__MAX","chocolate-sweep-5 - eval/loss","chocolate-sweep-5 - eval/loss__MIN","chocolate-sweep-5 - eval/loss__MAX","chocolate-sweep-5 - _step","chocolate-sweep-5 - _step__MIN","chocolate-sweep-5 - _step__MAX","woven-sweep-4 - eval/loss","woven-sweep-4 - eval/loss__MIN","woven-sweep-4 - eval/loss__MAX","woven-sweep-4 - _step","woven-sweep-4 - _step__MIN","woven-sweep-4 - _step__MAX","daily-sweep-3 - eval/loss","daily-sweep-3 - eval/loss__MIN","daily-sweep-3 - eval/loss__MAX","daily-sweep-3 - _step","daily-sweep-3 - _step__MIN","daily-sweep-3 - _step__MAX","fanciful-sweep-2 - eval/loss","fanciful-sweep-2 - eval/loss__MIN","fanciful-sweep-2 - eval/loss__MAX","fanciful-sweep-2 - _step","fanciful-sweep-2 - _step__MIN","fanciful-sweep-2 - _step__MAX","jumping-sweep-1 - eval/loss","jumping-sweep-1 - eval/loss__MIN","jumping-sweep-1 - eval/loss__MAX","jumping-sweep-1 - _step","jumping-sweep-1 - _step__MIN","jumping-sweep-1 - _step__MAX"
"1887","0.43826353549957275","0.43826353549957275","0.43826353549957275","1","1","1","0.43446701765060425","0.43446701765060425","0.43446701765060425","1","1","1","0.44755253195762634","0.44755253195762634","0.44755253195762634","1","1","1","0.44751834869384766","0.44751834869384766","0.44751834869384766","1","1","1","0.5232292413711548","0.5232292413711548","0.5232292413711548","1","1","1","0.5210419297218323","0.5210419297218323","0.5210419297218323","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3773","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4325508177280426","0.4325508177280426","0.4325508177280426","1","1","1","0.4227055311203003","0.4227055311203003","0.4227055311203003","1","1","1","0.4297516942024231","0.4297516942024231","0.4297516942024231","1","1","1","0.43536287546157837","0.43536287546157837","0.43536287546157837","1","1","1","0.479945570230484","0.479945570230484","0.479945570230484","1","1","1","0.48567306995391846","0.48567306995391846","0.48567306995391846","1","1","1"
"3774","0.41706135869026184","0.41706135869026184","0.41706135869026184","3","3","3","0.41409045457839966","0.41409045457839966","0.41409045457839966","3","3","3","0.4263222813606262","0.4263222813606262","0.4263222813606262","3","3","3","0.430271178483963","0.430271178483963","0.430271178483963","3","3","3","0.48106202483177185","0.48106202483177185","0.48106202483177185","3","3","3","0.4808388352394104","0.4808388352394104","0.4808388352394104","3","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5661","0.45297253131866455","0.43826353549957275","0.46768152713775635","6","5","7","0.45150843262672424","0.43446701765060425","0.46854984760284424","6","5","7","0.44242893159389496","0.4373053312301636","0.44755253195762634","6","5","7","0.4368131160736084","0.4368131160736084","0.4368131160736084","5","5","5","0.459779292345047","0.459779292345047","0.459779292345047","5","5","5","0.459314227104187","0.459314227104187","0.459314227104187","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7546","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4156198799610138","0.4156198799610138","0.4156198799610138","3","3","3","0.4110451936721802","0.4110451936721802","0.4110451936721802","3","3","3","0.405891478061676","0.405891478061676","0.405891478061676","3","3","3","0.40804749727249146","0.40804749727249146","0.40804749727249146","3","3","3","0.4436022937297821","0.4436022937297821","0.4436022937297821","3","3","3","0.43976426124572754","0.43976426124572754","0.43976426124572754","3","3","3"
"7548","","","","","","","","","","","","","","","","","","","0.4753955602645874","0.4753955602645874","0.4753955602645874","7","7","7","0.4505481719970703","0.4505481719970703","0.4505481719970703","7","7","7","0.4503867030143738","0.4503867030143738","0.4503867030143738","7","7","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9435","","","","","","","","","","","","","","","","","","","0.4753575026988983","0.4368131160736084","0.5139018893241882","10","9","11","0.44822627305984497","0.44822627305984497","0.44822627305984497","9","9","9","0.4470498859882355","0.4470498859882355","0.4470498859882355","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11319","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5289372205734253","0.5289372205734253","0.5289372205734253","5","5","5","0.5193527340888977","0.5193527340888977","0.5193527340888977","5","5","5","0.4488162398338318","0.4488162398338318","0.4488162398338318","5","5","5","0.4506416916847229","0.4506416916847229","0.4506416916847229","5","5","5","0.4315469563007355","0.4315469563007355","0.4315469563007355","5","5","5","0.427569180727005","0.427569180727005","0.427569180727005","5","5","5"
"11322","","","","","","","","","","","","","","","","","","","","","","","","","0.44798213243484497","0.44798213243484497","0.44798213243484497","12","11","13","0.4484909176826477","0.44659513235092163","0.4503867030143738","12","11","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15092","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6390658020973206","0.6390658020973206","0.6390658020973206","7","7","7","0.664862871170044","0.664862871170044","0.664862871170044","7","7","7","0.5403020977973938","0.5403020977973938","0.5403020977973938","7","7","7","0.5335291028022766","0.5335291028022766","0.5335291028022766","7","7","7","0.431111603975296","0.431111603975296","0.431111603975296","7","7","7","0.42530107498168945","0.42530107498168945","0.42530107498168945","7","7","7"
"18865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.860630452632904","0.860630452632904","0.860630452632904","9","9","9","0.678846925497055","0.5193527340888977","0.8383411169052124","10","9","11","0.5925191640853882","0.5925191640853882","0.5925191640853882","9","9","9","0.5923019647598267","0.5923019647598267","0.5923019647598267","9","9","9","0.4273698925971985","0.4273698925971985","0.4273698925971985","9","9","9","0.4215189218521118","0.4215189218521118","0.4215189218521118","9","9","9"
"22638","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9249982833862305","0.860630452632904","0.9893661141395569","12","11","13","","","","","","","0.6063252389431","0.5403020977973938","0.6723483800888062","12","11","13","0.6025373339653015","0.5335291028022766","0.6715455651283264","12","11","13","0.43077634274959564","0.43044108152389526","0.431111603975296","12","11","13","0.4255196452140808","0.4255196452140808","0.4255196452140808","12","11","13"
