train/learning_rate,eval/f1_micro,eval/precision_class_1,train/loss,final/eval_recall_class_0,final/eval_steps_per_second,eval/steps_per_second,eval/runtime,eval/f1_binary_class_1,eval/recall_class_0,final/eval_precision_class_0,final/eval_f1_micro,_timestamp,train/grad_norm,final/eval_samples_per_second,eval/recall_class_1,final/eval_f1_binary_class_0,final/eval_loss,eval/samples_per_second,_runtime,final/eval_f1_binary_class_1,final/eval_precision_micro,train/global_step,eval/precision_class_0,final/eval_recall_class_1,eval/precision_micro,eval/f1_binary_class_0,final/epoch,final/eval_precision_class_1,final/eval_recall_micro,_step,eval/recall_micro,final/eval_runtime,eval/loss,train/epoch
9.259840973790125e-06,,,0.527,,,,,,,,,1776348560.8430767,9.194106101989746,,,,,,573.973699472,,,3773,,,,,,,,0,,,,1.0
,0.9231464778671441,0.2888410965616748,,,,19.153,35.2428,0.3842949762758521,0.9383730174644778,,,1776348596.0876012,,,0.5739789018122802,,,76.611,609.218544333,,,3773,0.9805862819586777,,0.9231464778671441,0.9590153460393235,,,,1,0.9231464778671441,,0.4227055311203003,1.0
7.407970943359184e-06,,,0.4036,,,,,,,,,1776349164.991669,4.813149929046631,,,,,,1178.122153341,,,7546,,,,,,,,2,,,,2.0
,0.9010317062033483,0.24834858734580184,,,,19.693,34.2764,0.3631391373918103,0.9108776118276247,,,1776349199.2697904,,,0.6752502028671896,,,78.772,1212.400564028,,,7546,0.9846906766909623,,0.9010317062033483,0.9463470109791263,,,,3,0.9010317062033483,,0.4110451936721802,2.0
5.556100912928243e-06,,,0.3099,,,,,,,,,1776349771.9359138,11.555791854858398,,,,,,1785.066351752,,,11319,,,,,,,,4,,,,3.0
,0.9381405778820636,0.3511565538048944,,,,19.824,34.0495,0.43361274966366553,0.9543394615099707,,,1776349805.9869022,,,0.5666756829862051,,,79.296,1819.117570752,,,11319,0.9805838892336333,,0.9381405778820636,0.9672836915807961,,,,5,0.9381405778820636,,0.5193527340888977,3.0
3.7042308824973007e-06,,,0.2178,,,,,,,,,1776350377.592166,2.9474873542785645,,,,,,2390.722611548,,,15092,,,,,,,,6,,,,4.0
,0.9402473924778582,0.35866704602034283,,,,19.863,33.9833,0.4328047550586872,0.9574582025011265,,,1776350411.5768652,,,0.5455774952664323,,,79.451,2424.707566492,,,15092,0.9797226835579931,,0.9402473924778582,0.9684624975392087,,,,7,0.9402473924778582,,0.664862871170044,4.0
1.8523608520663592e-06,,,0.1446,,,,,,,,,1776350986.5811203,0.7237491607666016,,,,,,2999.71158622,,,18865,,,,,,,,8,,,,5.0
,0.948982083033813,0.40339672627495504,,,,18.239,37.008,0.4304065820356863,0.9702492869595578,,,1776351023.5964994,,,0.46129294022180145,,,72.957,3036.727220924,,,18865,0.9763600452003153,,0.948982083033813,0.9732950746930927,,,,9,0.948982083033813,,0.8383411169052124,5.0
,,,,,,,,,,,,1776351024.4148705,,,,,,,3037.545246724,,,18865,,,,,,,,10,,,,5.0
,0.9381405778820636,0.3511565538048944,,,,18.999,35.5281,0.43361274966366553,0.9543394615099707,,,1776351060.0636606,,,0.5666756829862051,,,75.996,3073.194311625,,,18865,0.9805838892336333,,0.9381405778820636,0.9672836915807961,,,,11,0.9381405778820636,,0.5193527340888977,5.0
,,,,0.9543394615099707,18.999,,,,,0.9805838892336333,0.9381405778820636,1776351060.0749443,,75.996,,0.9672836915807961,0.5193527340888977,,3073.20544044,0.43361274966366553,0.9381405778820636,18865,,0.5666756829862051,,,5.0,0.3511565538048944,0.9381405778820636,12,,35.5281,,
