final/eval_recall_class_0,final/eval_runtime,_timestamp,_step,eval/f1_binary_class_1,final/eval_precision_class_1,final/eval_precision_class_0,train/global_step,eval/recall_class_1,train/epoch,final/eval_loss,final/eval_samples_per_second,eval/runtime,eval/steps_per_second,final/eval_f1_micro,_runtime,eval/f1_micro,eval/recall_class_0,eval/f1_binary_class_0,eval/precision_micro,final/eval_steps_per_second,final/eval_recall_micro,final/eval_f1_binary_class_1,eval/precision_class_1,final/eval_f1_binary_class_0,eval/samples_per_second,final/eval_recall_class_1,eval/loss,train/loss,eval/precision_class_0,final/eval_precision_micro,train/learning_rate,train/grad_norm,eval/recall_micro,final/epoch
,,1776333786.4252586,0,,,,3773,,1.0,,,,,,583.473589966,,,,,,,,,,,,,0.6075,,,9.259840973790124e-07,13.236516952514648,,
,,1776333823.8399134,1,0.280996293005729,,,3773,0.4961860968352718,1.0,,,37.4077,18.044,,620.888377002,0.8938952108396967,0.9112385553765254,0.9427212355363127,0.8938952108396967,,,,0.19599546979507235,,72.178,,0.48567306995391846,,0.9764571752149392,,,,0.8938952108396967,
,,1776334405.149494,2,,,,7546,,2.0,,,,,,1202.197712555,,,,,,,,,,,,,0.4866,,,7.407970943359183e-07,20.78949737548828,,
,,1776334442.4072063,3,0.2913111432706223,,,7546,0.6806058966729781,2.0,,,37.2507,18.12,,1239.45572986,0.8616261353515351,0.8695200866264517,0.9233278179497553,0.8616261353515351,,,,0.1853144793047577,,72.482,,0.43976426124572754,,0.9842343064056142,,,,0.8616261353515351,
,,1776335016.769772,4,,,,11319,,3.0,,,,,,1813.817988928,,,,,,,,,,,,,0.4503,,,5.556100912928243e-07,48.62372589111328,,
,,1776335050.69817,5,0.3267965004469243,,,11319,0.6526913713822018,3.0,,,33.927,19.896,,1847.746641701,0.88763354085005,0.8978789258508714,0.9387009655818771,0.88763354085005,,,,0.21796469929362455,,79.583,,0.427569180727005,,0.9834117528506205,,,,0.88763354085005,
,,1776335618.7893999,6,,,,15092,,4.0,,,,,,2415.837595167,,,,,,,,,,,,,0.432,,,3.7042308824973e-07,8.024166107177734,,
,,1776335652.6025603,7,0.33802103129355127,,,15092,0.6494995942656208,4.0,,,33.8115,19.964,,2449.651124596,0.8936985446703468,0.9043476004331322,0.942209211870062,0.8936985446703468,,,,0.22845943065915664,,79.855,,0.42530107498168945,,0.9833795937633073,,,,0.8936985446703468,
,,1776336222.2722907,8,,,,18865,,5.0,,,,,,3019.320512372,,,,,,,,,,,,,0.4183,,,1.8523608520663588e-07,13.249643325805664,,
,,1776336256.986099,9,0.32904310402797393,,,18865,0.6617798214768731,5.0,,,34.712,19.446,,3054.0344927,0.8872243847965748,0.8970555971020715,0.938438510697896,0.8872243847965748,,,,0.21895471630570967,,77.783,,0.4215189218521118,,0.9838242295034463,,,,0.8872243847965748,
,,1776336825.9819803,10,,,,22638,,6.0,,,,,,3623.030195061,,,,,,,,,,,,,0.4107,,,4.9082163541768917e-11,5.50272798538208,,
,,1776336860.9129438,11,0.3397837868512896,,,22638,0.647822558831485,6.0,,,34.9293,19.325,,3657.96127425,0.8948039441739343,0.9055743366777623,0.9428488619142241,0.8948039441739343,,,,0.2302840329993654,,77.299,,0.4255196452140808,,0.9833236417477643,,,,0.8948039441739343,
,,1776336861.851754,12,,,,22638,,6.0,,,,,,3658.899822922,,,,,,,,,,,,,,,,,,,
,,1776336896.1754785,13,0.3397837868512896,,,22638,0.647822558831485,6.0,,,34.3209,19.667,,3693.223954085,0.8948039441739343,0.9055743366777623,0.9428488619142241,0.8948039441739343,,,,0.2302840329993654,,78.669,,0.4255196452140808,,0.9833236417477643,,,,0.8948039441739343,
0.9055743366777623,34.3209,1776336896.1785145,14,,0.2302840329993654,0.9833236417477643,22638,,,0.4255196452140808,78.669,,,0.8948039441739343,3693.226943639,,,,,19.667,0.8948039441739343,0.3397837868512896,,0.9428488619142241,,0.647822558831485,,,,0.8948039441739343,,,,6.0
